抖音号名称,新增作品数,获赞数,评论数,分享数,新增粉丝数,累计粉丝数,新榜指数
茶茶冰_,12,223451,26231,93856,8322,1121734,791.9
EIIO奕沃官方旗舰店,570,280842,10002,14920,62824,1118120,787.9
狗屁小鲜肉包,23,744919,27258,45361,76597,1115872,816.0
张甜粒子,35,438696,37069,78953,16950,1111688,804.0
肉松小淳,21,2779146,180870,477049,98958,1104042,852.7
小熊的奇思妙想的小号,19,2869382,98179,66322,144009,1100520,843.9
欣冉儿童编发,32,274388,5421,57937,24539,1079918,786.1
侯小西,9,342642,8261,49220,20495,1077129,786.0
大宋宋Tiffany,15,324987,9218,30476,23871,1024605,781.3
钰霏??,141,127769,9487,14867,138624,1016385,792.4
周四蛋3月8号百万粉丝×3.8狂欢节~,29,347808,35307,20768,68031,1000694,801.3
曼迪斯R,18,429083,6897,112168,52023,988028,805.0
方脸姐妹,21,280383,15803,89550,9363,981999,785.4
是之鹰呀,16,236368,3679,38491,108295,960735,793.2
肉肉??,22,814929,177950,43975,85962,908811,823.7
阳六6,34,372994,53607,248262,18503,899199,811.8
JOAH那那,24,521968,29681,39897,21058,877334,790.1
薇掌柜V（早上7:00开播）,97,75652,6148,11038,160511,866638,780.5
美讶,14,862585,131000,66724,37946,855387,816.6
铂瑞珥饰品旗舰店,461,209086,6681,36768,117104,848323,794.7
复旦皮肤学Dr.Lim,32,564100,25329,189904,63800,847687,821.2
恩妮诗化妆品旗舰店,116,234040,8196,43351,32911,829485,781.7
芊雨聊护肤,85,117110,4722,11057,312115,817035,786.7
chilly香菜,13,585599,33563,59860,95821,806000,813.9
九歌????,34,516745,53765,19298,18598,805147,782.1
叽叽亚亚,11,480612,28548,130554,4110,802604,780.3
攀攀nikki,19,351226,36804,176027,14361,802462,801.5
pp酱,25,1401176,50400,160462,60751,801291,826.3
木木u,24,679457,34220,40315,23516,792037,790.8
于有鱼（180斤版,38,920580,103833,91527,120615,762370,831.7
Jade金豆,21,420615,6589,10863,149412,758233,781.7
瓜瓜,19,895573,16894,50186,23257,755054,786.8
沧州大叔巡剪中,22,276321,26271,97788,14207,736768,787.9
少女总裁,43,441132,96406,83569,30959,727849,808.5
遥遥小宝,15,203014,8235,13297,148049,725729,782.4
零吧啦,18,663616,26516,72539,9460,720541,781.2
BB大王,7,546249,30902,83341,144595,710955,818.8
百变小欣,22,1454111,59578,138425,132697,698358,832.3
小阿娘,14,414909,32005,67310,113763,692459,811.7
李阿壹,27,552343,13721,57375,73854,657280,796.2
今野不回家,12,385334,45821,35485,24818,625128,783.7
琳琳爸,25,390205,18410,56225,64660,624186,794.1
赵赵爱睡觉,16,1315571,133173,610130,54822,618237,825.7
马晓晴Er,35,613084,31281,137270,19989,618010,795.6
叶赫那拉歌灵,25,402322,50304,55800,174892,604773,814.8
技术员小星星??,11,221872,13018,33321,60290,594053,780.4
叫我郑朕朕,21,1182217,67748,321496,316234,570083,841.4
大四喜,24,553325,114619,92923,90467,556669,818.2
阿螺不怕,21,581139,68380,129643,17381,555750,796.5
粤式斯文sisi,19,114886,17732,61232,39025,548539,780.5
淉uuup,15,497186,28131,109150,11473,541562,780.0
徐好几岁,24,1180682,73835,75285,114732,514022,815.1
爱做美甲的鸭鸭,26,649856,42240,128913,12838,490403,785.1
